GT	ChatGPT-3.5	ChatGPT-4	Gemini-1.5	LLAMA3-70B	LLAMA3-8B	gpt4.1-mini	gpt4o-mini
CWE-913	CWE-94	CWE-400	CWE-78	CWE-95	CWE-20	CWE-95	CWE-704
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-400	CWE-833	CWE-833	CWE-366	CWE-362	CWE-362	CWE-667	CWE-667
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-613	CWE-613	CWE-613	CWE-661	CWE-620	CWE-287	CWE-613	CWE-613
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-862	CWE-285	CWE-284	CWE-862	CWE-284	CWE-284	CWE-284	CWE-284
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-639	CWE-285	CWE-639	CWE-639	CWE-639	CWE-284	CWE-285	CWE-285
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80	CWE-79	CWE-79
CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-20	CWE-502	CWE-502
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-120	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-732	CWE-732	CWE-276	Error	CWE-275	CWE-284	CWE-732	CWE-732
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-798	CWE-798	CWE-259	CWE-798	CWE-259	CWE-798	CWE-259	CWE-798
CWE-78	CWE-78	CWE-78	Error	CWE-78	CWE-78	CWE-78	CWE-78
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-22	CWE-306	CWE-284
CWE-502	CWE-79	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502
CWE-120	CWE-119	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20	CWE-79	CWE-20
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20	CWE-79	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-401	CWE-401	CWE-401	CWE-401	CWE-401	CWE-401	CWE-401	CWE-401
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80	CWE-79	CWE-79
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-362	CWE-415	CWE-362	Error	CWE-362	CWE-416	CWE-362	CWE-362
CWE-116	CWE-117	CWE-117	Error	CWE-117	CWE-20	CWE-117	CWE-117
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-119	CWE-119	CWE-119	CWE-120	CWE-1194	CWE-119	CWE-119	CWE-119
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-532	CWE-532	CWE-532	CWE-532	CWE-532	CWE-532	CWE-532	CWE-532
CWE-434	CWE-434	CWE-434	Error	CWE-434	CWE-434	CWE-434	CWE-434
CWE-668	CWE-404	CWE-404	CWE-401	CWE-401	CWE-416	CWE-772	CWE-772
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-918	CWE-918	CWE-918	Error	CWE-918	CWE-918	CWE-918	CWE-918
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-352	CWE-352	CWE-352	Error	CWE-352	CWE-352	CWE-352	CWE-352
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-20
CWE-754	CWE-690	CWE-129	CWE-191	CWE-131	CWE-476	CWE-131	CWE-130
CWE-611	CWE-94	CWE-94	CWE-434	CWE-20	CWE-78	CWE-94	CWE-94
CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125
CWE-94	CWE-94	CWE-94	CWE-94	CWE-94	CWE-94	CWE-94	CWE-94
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-300	CWE-300	CWE-300	CWE-346	CWE-300	CWE-284	CWE-295	CWE-295
CWE-436	CWE-113	CWE-113	CWE-113	CWE-113	CWE-20	CWE-113	CWE-20
CWE-125	CWE-119	CWE-125	CWE-125	CWE-119	CWE-20	CWE-125	CWE-130
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-190	CWE-190	CWE-190	CWE-170	CWE-190	CWE-190	CWE-190	CWE-190
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-78	CWE-434	CWE-434
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20	CWE-79	CWE-20
CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362
CWE-863	CWE-285	CWE-285	CWE-862	CWE-284	CWE-285	CWE-285	CWE-285
CWE-610	CWE-61	CWE-59	CWE-61	CWE-246	CWE-22	CWE-59	CWE-22
CWE-94	CWE-94	CWE-94	CWE-77	CWE-94	CWE-94	CWE-94	CWE-94
CWE-59	CWE-269	CWE-59	CWE-269	CWE-427	CWE-269	CWE-59	CWE-250
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-89	CWE-89	CWE-89	Error	CWE-89	CWE-89	CWE-89	CWE-89
CWE-120	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-119	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-754	CWE-754
CWE-77	CWE-78	CWE-78	Error	CWE-78	CWE-78	CWE-77	CWE-77
CWE-319	CWE-319	CWE-319	CWE-311	CWE-295	CWE-310	CWE-319	CWE-319
CWE-532	CWE-532	CWE-532	CWE-532	CWE-532	CWE-522	CWE-200	CWE-200
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-77	CWE-78	CWE-78	CWE-77	CWE-78	CWE-78	CWE-77	CWE-77
CWE-346	CWE-494	CWE-20	CWE-400	CWE-1321	CWE-345	CWE-494	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-119	CWE-121	CWE-121
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-640	CWE-287	CWE-640	Error	CWE-257	CWE-287	CWE-640	CWE-521
CWE-436	CWE-93	CWE-20	CWE-74	CWE-1321	CWE-20	CWE-20	CWE-20
CWE-346	CWE-269	CWE-285	CWE-269	CWE-250	CWE-269	CWE-269	CWE-20
CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502
CWE-79	CWE-79	CWE-284	CWE-79	CWE-79	CWE-94	CWE-79	CWE-20
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-798	CWE-20	CWE-20	CWE-77	CWE-20	CWE-20	CWE-20	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-119	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-119	CWE-122	CWE-122
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-476	CWE-476	CWE-476	Error	CWE-476	CWE-476	CWE-476	CWE-476
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-94	CWE-94	CWE-114	CWE-427	CWE-114	CWE-426	CWE-427	CWE-426
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-276	CWE-276	CWE-269	CWE-269	CWE-379	CWE-22	CWE-276	CWE-276
CWE-434	CWE-434	CWE-434	CWE-464	CWE-434	CWE-78	CWE-434	CWE-434
CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-130
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80	CWE-79	CWE-79
CWE-281	CWE-285	CWE-284	CWE-284	CWE-425	CWE-22	CWE-285	CWE-284
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-352	CWE-79	CWE-352	CWE-79	CWE-352	CWE-79	CWE-79	CWE-352
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-77	CWE-78	CWE-78	CWE-77	CWE-78	CWE-78	CWE-77	CWE-77
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-269	CWE-269	CWE-269	CWE-269	CWE-269	CWE-269	CWE-269	CWE-269
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-787	CWE-121	CWE-121	CWE-787	CWE-121	CWE-120	CWE-121	CWE-121
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-120	CWE-119	CWE-122	CWE-121	CWE-120	CWE-120	CWE-120	CWE-120
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-347	CWE-347	CWE-347	CWE-347	CWE-347	CWE-347	CWE-347	CWE-347
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-94	CWE-94	CWE-94	CWE-94	CWE-79	CWE-94	CWE-94	CWE-94
CWE-121	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20	CWE-79	CWE-20
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-369	CWE-369	CWE-369	CWE-369	CWE-682	CWE-682	CWE-682	CWE-369
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-94	CWE-94	CWE-94	Error	CWE-94	CWE-94	CWE-94	CWE-94
CWE-346	CWE-269	CWE-284	CWE-444	CWE-250	CWE-269	CWE-264	CWE-20
CWE-427	CWE-494	CWE-94	CWE-1021	CWE-427	CWE-22	CWE-829	CWE-1104
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-215	CWE-200	CWE-340	CWE-311	CWE-200	CWE-200	CWE-330	CWE-200
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-120	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-125	CWE-415	CWE-664	CWE-665	CWE-670	CWE-20	CWE-125	CWE-665
CWE-670	CWE-287	CWE-287	CWE-287	CWE-287	CWE-287	CWE-287	CWE-287
CWE-862	CWE-269	CWE-269	Error	CWE-275	CWE-269	CWE-269	CWE-284
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20	CWE-79	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-78	CWE-78	CWE-78	CWE-77	CWE-78	CWE-78	CWE-77	CWE-77
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-787	CWE-787	CWE-787	CWE-121	CWE-787	CWE-787	CWE-787	CWE-787
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-94	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-787	CWE-119	CWE-843	CWE-704	CWE-119	CWE-119	CWE-843	CWE-705
CWE-476	CWE-476	CWE-476	Error	CWE-476	CWE-476	CWE-476	CWE-476
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-120	CWE-119	CWE-120	Error	CWE-120	CWE-120	CWE-120	CWE-120
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-203	CWE-310	CWE-203	CWE-201	CWE-208	CWE-327	CWE-209	CWE-203
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-436	CWE-113	CWE-444	CWE-444	CWE-807	CWE-20	CWE-693	CWE-20
CWE-125	CWE-125	CWE-125	CWE-20	CWE-125	CWE-125	CWE-125	CWE-125
CWE-77	CWE-78	CWE-78	CWE-77	CWE-78	CWE-78	CWE-77	CWE-77
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-119	CWE-125	CWE-119	CWE-125	CWE-823	CWE-119	CWE-125	CWE-125
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-476	CWE-457	CWE-416
CWE-476	CWE-476	CWE-170	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476
CWE-862	CWE-862	CWE-285	CWE-862	CWE-284	CWE-285	CWE-285	CWE-285
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-295	CWE-295	CWE-326	CWE-298	CWE-295	CWE-306	CWE-295	CWE-295
CWE-835	CWE-835	CWE-835	CWE-835	CWE-835	CWE-561	CWE-835	CWE-835
CWE-665	CWE-119	CWE-119	CWE-665	CWE-131	CWE-125	CWE-125	CWE-787
CWE-79	CWE-79	CWE-79	Error	CWE-80	CWE-94	CWE-79	CWE-79
CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-203	CWE-200	CWE-200	CWE-200	CWE-208	CWE-200	CWE-204	CWE-203
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80	CWE-79	CWE-79
CWE-862	CWE-269	CWE-284	CWE-862	CWE-284	CWE-306	CWE-284	CWE-284
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-787	CWE-787	CWE-787	Error	CWE-787	CWE-120	CWE-787	CWE-787
CWE-284	CWE-284	CWE-269	CWE-284	CWE-284	CWE-284	CWE-284	CWE-284
CWE-416	CWE-399	CWE-404	CWE-401	CWE-416	CWE-416	CWE-416	CWE-772
CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362
CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-614	CWE-200	CWE-614	CWE-613	CWE-1004	CWE-614	CWE-614	CWE-614
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-295	CWE-310	CWE-325	Error	CWE-310	CWE-327	CWE-310	CWE-326
CWE-522	CWE-312	CWE-256	CWE-312	CWE-256	CWE-522	CWE-312	CWE-256
CWE-203	CWE-203	CWE-208	CWE-203	CWE-204	CWE-321	CWE-208	CWE-203
CWE-190	CWE-190	CWE-680	CWE-122	CWE-131	CWE-119	CWE-190	CWE-190
CWE-755	CWE-703	CWE-755	CWE-20	CWE-248	CWE-399	CWE-248	CWE-390
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-209	CWE-209	CWE-209	CWE-209	CWE-209	CWE-532	CWE-209	CWE-209
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-294	CWE-287	CWE-294	CWE-287	CWE-294	CWE-287	CWE-287	CWE-294
CWE-798	CWE-798	CWE-798	CWE-798	CWE-798	CWE-798	CWE-798	CWE-798
CWE-532	CWE-532	CWE-532	CWE-532	CWE-532	CWE-532	CWE-200	CWE-532
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-401	CWE-400	CWE-401	CWE-401	CWE-401	CWE-400	CWE-401	CWE-401
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-79	CWE-79	CWE-79
CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-77
CWE-287	CWE-287	CWE-287	CWE-287	CWE-287	CWE-306	CWE-287	CWE-287
CWE-426	CWE-426	CWE-426	CWE-427	CWE-427	CWE-426	CWE-427	CWE-427
CWE-89	CWE-284	CWE-284	CWE-200	CWE-200	CWE-200	CWE-200	CWE-200
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-862	CWE-285	CWE-284	CWE-285	CWE-284	CWE-306	CWE-285	CWE-287
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-354	CWE-347	CWE-494	CWE-494	CWE-353	CWE-732	CWE-347	CWE-345
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-427	CWE-427	CWE-426	CWE-427	CWE-426	CWE-426	CWE-427	CWE-427
CWE-191	CWE-125	CWE-191	CWE-129	CWE-131	CWE-190	CWE-190	CWE-125
CWE-798	CWE-798	CWE-321	CWE-732	CWE-798	CWE-259	CWE-798	CWE-259
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20
CWE-369	CWE-754	CWE-369	CWE-190	CWE-401	CWE-399	CWE-754	CWE-704
CWE-862	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22	CWE-22
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-203	CWE-209	CWE-204	CWE-209	CWE-209	CWE-200	CWE-204	CWE-203
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-119	CWE-121	CWE-121
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-22	CWE-98	CWE-98	Error	CWE-22	CWE-78	CWE-98	CWE-22
CWE-120	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-272	CWE-285	CWE-285	Error	CWE-284	CWE-269	CWE-285	CWE-284
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502
CWE-404	CWE-20	CWE-20	CWE-400	CWE-400	CWE-400	CWE-20	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-404	CWE-400	CWE-20	Error	CWE-400	CWE-400	CWE-20	CWE-20
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-209	CWE-287	CWE-306	Error	CWE-306	CWE-287	CWE-306	CWE-287
CWE-1321	CWE-95	CWE-1321	CWE-434	CWE-1321	CWE-22	CWE-1321	CWE-1321
CWE-190	CWE-190	CWE-190	CWE-122	CWE-122	CWE-119	CWE-190	CWE-190
CWE-1236	CWE-94	CWE-77	CWE-78	CWE-20	CWE-94	CWE-1231	CWE-89
CWE-345	CWE-434	CWE-494	CWE-434	CWE-20	CWE-20	CWE-22	CWE-20
CWE-347	CWE-345	CWE-345	CWE-347	CWE-345	CWE-287	CWE-347	CWE-287
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-798	CWE-732	CWE-276	CWE-732	CWE-922	CWE-259	CWE-732	CWE-276
CWE-119	CWE-125	CWE-190	CWE-190	CWE-190	CWE-476	CWE-190	CWE-190
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-362	CWE-367	CWE-362	CWE-476	CWE-116	CWE-94	CWE-94	CWE-20
CWE-776	CWE-611	CWE-776	Error	CWE-776	CWE-20	CWE-776	CWE-20
CWE-843	CWE-843	CWE-843	Error	CWE-843	CWE-476	CWE-843	CWE-843
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-94	CWE-1021	CWE-79
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-78	CWE-434	CWE-434
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-94	CWE-20	CWE-20	Error	CWE-20	CWE-20	CWE-20	CWE-20
CWE-77	CWE-78	CWE-77	CWE-77	CWE-78	CWE-78	CWE-77	CWE-77
CWE-697	CWE-284	CWE-94	CWE-94	CWE-78	CWE-264	CWE-94	CWE-94
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-77	CWE-78	CWE-78	CWE-77	CWE-78	CWE-78	CWE-77	CWE-77
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-121
CWE-22	CWE-434	CWE-434	CWE-434	CWE-434	CWE-22	CWE-434	CWE-434
CWE-843	CWE-682	CWE-843	CWE-704	CWE-843	CWE-476	CWE-843	CWE-843
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476	CWE-476
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-119	CWE-119	CWE-125	CWE-125	CWE-129	CWE-125	CWE-125	CWE-125
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-78	CWE-434	CWE-434
CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-287	CWE-287	CWE-287	CWE-346	CWE-345	CWE-20	CWE-287	CWE-20
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-80	CWE-79	CWE-79
CWE-613	CWE-384	CWE-613	CWE-384	CWE-613	CWE-287	CWE-613	CWE-613
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-352	CWE-352	CWE-352	Error	CWE-352	CWE-352	CWE-352	CWE-352
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-77	CWE-78	CWE-78	CWE-77	CWE-78	CWE-78	CWE-77	CWE-77
CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125
CWE-200	CWE-200	CWE-200	CWE-200	CWE-200	CWE-200	CWE-200	CWE-200
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-78	CWE-434	CWE-434
CWE-352	CWE-352	CWE-352	Error	CWE-352	CWE-352	CWE-352	CWE-352
